code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
569119,Čavisov,419,318,316,29,0,0,22,0,16,34,4,2,2,0,0,36,0,0,5,103,0,0,27,0,1,2,0,29,4
506711,Dolní Lhota,1 202,904,899,95,2,0,69,0,31,41,9,3,2,1,1,90,0,0,25,356,0,2,65,0,6,7,0,91,3
569500,Horní Lhota,691,481,474,49,0,0,39,1,17,52,5,4,1,0,0,38,0,0,8,152,0,0,19,0,2,5,0,82,0
599549,Klimkovice,3 652,2 453,2 434,230,0,0,166,1,56,200,32,16,34,3,6,292,0,4,97,835,2,0,156,2,22,8,7,256,9
554049,Olbramice,545,368,356,27,0,0,33,2,13,16,5,4,4,0,0,25,0,0,12,122,0,2,41,0,1,1,1,45,2
554821,Ostrava,237 254,125 244,124 258,10 288,114,82,10 566,124,3 045,10 640,1 540,804,1 537,141,129,11 446,62,99,3 451,44 268,125,220,5 405,34,1 091,281,318,17 799,649
598739,Stará Ves nad Ondřejnicí,2 235,1 499,1 486,161,3,0,133,3,42,140,23,10,5,0,3,105,0,2,37,490,5,6,98,1,18,9,2,181,9
598798,Šenov,5 137,3 357,3 338,297,4,0,297,6,83,300,41,11,27,1,17,324,1,4,86,1 082,0,3,262,0,32,12,9,429,10
598836,Václavovice,1 578,1 149,1 145,90,3,0,71,0,32,92,20,13,14,2,1,123,0,1,36,424,0,2,73,0,9,3,1,128,7
510882,Velká Polom,1 565,1 107,1 098,99,1,2,70,5,159,109,8,3,8,0,1,112,0,2,25,342,1,0,42,0,7,2,0,97,3
598879,Vratimov,5 847,3 559,3 532,261,3,0,325,3,79,314,44,41,42,9,4,299,0,5,91,1 253,4,13,163,1,10,7,8,526,27
500291,Vřesina,2 362,1 617,1 606,168,0,0,111,0,48,112,24,8,20,6,1,172,1,0,81,514,1,1,125,2,13,5,2,187,4
568449,Zbyslavice,503,342,341,23,0,1,30,0,20,17,3,0,5,0,0,24,1,0,8,112,1,0,42,0,2,1,1,48,2
